teos,kesto_min,tila,korjattu_levylta,huomiot,tiedostopolku
Elämä on Pythonia (1971),85,KUNNOSSA,KYLLÄ,"KORJATTU 2026-08-19: uudelleenenkoodattu suoraan levyltä uudella HandBrakella (1.9.2+ jälkeinen, korjaa VobSub off-by-one-bugin). Käyttäjä vahvisti VNC-playerillä että tekstitys menee kohdilleen. Kaikki 4 tekstitysraitaa mukana (2x suomi, 2x ruotsi). Vanha rikkinäinen tiedosto varmuuskopioitu: /home/keitsi/dvd-rip-tmp/_vanhat_ennen_tekstityskorjausta/",/mnt/terastation/dlna/vids/movies/Elämä on Pythonia (1971)/Elämä on Pythonia.mkv
"Woody Allen - Manhattan, Movies & Me (2011)",108,RIKKI,EI,"Käyttäjä vahvisti katsoessaan: tekstitys sekaisin (""mullin mallin"") alusta lähtien, ei myöhemmin hyppäävä. AIEMPI ffprobe-analyysin ""hyppää 50min kohdalla"" -löydös oli tämän epäluotettavan heuristiikan harhaanjohtava tulos, ei todellinen kuvaus viasta — poistettu tästä.","/mnt/terastation/dlna/vids/documentaries/Woody Allen - Manhattan, Movies & Me (2011)/Woody Allen - Manhattan, Movies & Me - Part 01.mkv"
101 Reykjavik (2000),85,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/101 Reykjavik (2000)/101 Reykjavik.mkv
12 apinaa (1995),124,KORJATTU,KYLLÄ,"2026-08-25 korjaa-tekstitys.sh, 12 raitaa, suora irrotus. Video 542 -> ei sijaintibugia. Käyttäjä ei valittanut = kunnossa.",/mnt/terastation/dlna/vids/movies/12 apinaa (1995)/12 apinaa - Part 01.mkv
12 apinaa (1995),88,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/12 apinaa (1995)/12 apinaa - Part 02.mkv
1984 (1984),106,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/1984 (1984)/1984 - Part 01.mkv
2001- Avaruusseikkailu (1968),143,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/2001- Avaruusseikkailu (1968)/2001- Avaruusseikkailu - Part 01.mkv
2010- The Year We Make Contact (1984),111,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/2010- The Year We Make Contact (1984)/2010- The Year We Make Contact.mkv
2046 (2004),123,OSITTAIN,KYLLÄ,"Part 01 korjattu 2026-08-19 (tekstiskannaus-bugin takia mahdollisesti epäluotettavalla raitamäärällä, ei tarkistettu uudelleen). Part 02-09 (8 kpl) jäivät kesken samana iltana, ei koskaan jatkettu.",/mnt/terastation/dlna/vids/movies/2046 (2004)/2046 - Part 01.mkv
99 frangia (2007),100,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/99 frangia (2007)/99 frangia.mkv
